symbol,company_name,exchange,sector,market_cap
AEVA,Aeva Technologies Inc. Common Stock,NASDAQ,Consumer Discretionary,990669077
AEYE,AudioEye Inc. Common Stock,NASDAQ,Technology,97843523
AFBI,Affinity Bancshares Inc. Common Stock (MD),NASDAQ,Finance,136708271
AFCG,Advanced Flower Capital Inc. Common Stock,NASDAQ,Finance,68939513
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,NASDAQ,,0
AFJKR,Aimei Health Technology Co. Ltd Right,NASDAQ,,0
AFRI,Forafric Global PLC Ordinary Shares,NASDAQ,Consumer Staples,267670840
AFRIW,Forafric Global PLC Warrants,NASDAQ,Consumer Staples,21252258
AFRM,Affirm Holdings Inc. Class A Common Stock,NASDAQ,Finance,22345062469
AFYA,Afya Limited Class A Common Shares,NASDAQ,Real Estate,1256350180
AGAE,Allied Gaming & Entertainment Inc. Common Stock,NASDAQ,Consumer Discretionary,19962049
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,NASDAQ,Consumer Staples,683834410
AGEN,Agenus Inc. Common Stock,NASDAQ,Health Care,166984987
AGH,Aureus Greenway Holdings Inc. Common Stock,NASDAQ,Consumer Discretionary,100260676
AGIO,Agios Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,1639037544
AGMB,AgomAb Therapeutics NV American Depositary Shares,NASDAQ,Health Care,596146737
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,NASDAQ,Technology,3166183
AGNC,AGNC Investment Corp. Common Stock,NASDAQ,Real Estate,11808407636
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,27719266750
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,27619477390
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,28561932459
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,28218213552
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,27586214270
